tags,genre,year,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
"rock, electronic, alternative, indie, alternative_rock, experimental, indie_rock, british, britpop",Rock,2007,237293,0.6,0.853,1,-7.584,1,0.0423,0.0489,0.346,0.0934,0.847,94.457,4
"rock, pop, classic_rock, british, piano, 60s, oldies",Rock,2012,236133,0.401,0.186,0,-17.001,1,0.0356,0.588,0.84,0.103,0.504,75.894,4
"rock, alternative, indie, alternative_rock, 90s, acoustic",Rock,2009,232760,0.645,0.835,4,-5.975,0,0.0372,0.0597,0.0139,0.158,0.661,90.56,4
"rock, alternative, metal, alternative_rock, hard_rock, nu_metal",Metal,2011,234826,0.406,0.924,0,-3.384,0,0.0516,0.00146,0.0422,0.0774,0.254,79.957,4
"rock, electronic, alternative, indie, pop, indie_rock, dance, indie_pop, french",Rock,2009,193106,0.604,0.833,0,-5.406,1,0.0419,0.0608,3.79e-05,0.242,0.722,144.079,4
"rock, alternative, female_vocalists, metal, alternative_rock, piano, love, beautiful, gothic_metal, gothic",Rock,2014,270266,0.364,0.285,9,-9.927,1,0.032,0.75,5.69e-06,0.1,0.0707,149.552,4
"rock, pop, classic_rock, british, acoustic, 60s, oldies, beautiful",Jazz,2013,177000,0.458,0.0781,6,-19.955,0,0.044,0.993,0.94,0.0955,0.23,83.624,4
"rock, alternative, indie, female_vocalists, alternative_rock, indie_rock, love, beautiful, 00s",Rock,2004,214973,0.532,0.935,7,-5.839,1,0.055,0.00088,0.251,0.297,0.253,119.762,4
"rock, electronic, alternative, indie, alternative_rock, experimental, indie_rock, british, chillout, beautiful, britpop",Rock,2008,289760,0.49,0.632,4,-7.449,0,0.027,0.496,0.157,0.0827,0.237,104.265,4
"rock, alternative, metal, alternative_rock, hard_rock, nu_metal",Folk,2000,199893,0.59,0.894,4,-3.661,0,0.0579,0.000387,0.000661,0.269,0.732,90.604,4
"rock, electronic, alternative, indie, alternative_rock, experimental, indie_rock, british, psychedelic, 00s",Electronic,2008,241506,0.4,0.979,2,-4.988,1,0.0602,0.00612,0.0319,0.0879,0.712,83.369,4
"rock, alternative, indie, alternative_rock, indie_rock, british, 90s, beautiful, britpop",Rock,2008,259640,0.199,0.419,11,-9.365,0,0.0324,0.0472,0.575,0.114,0.216,133.397,4
"rock, alternative, alternative_rock, 90s, grunge",Rock,1991,223880,0.325,0.929,11,-5.625,0,0.0695,0.000129,2.22e-06,0.184,0.198,133.358,4
